保存日线数据，代码： 603486, 插入： 481条, 更新：   0条
保存日线数据，代码： 603392, 插入：   1条, 更新：   0条
保存日线数据，代码： 603392, 插入：   1条, 更新：   0条
保存日线数据，代码： 601609, 插入：   1条, 更新：   0条
保存日线数据，代码： 601609, 插入：   1条, 更新：   0条
保存日线数据，代码： 300829, 插入：  17条, 更新：   0条
保存日线数据，代码： 300829, 插入：  17条, 更新：   0条
保存日线数据，代码： 300792, 插入： 152条, 更新：   0条
保存日线数据，代码： 300792, 插入： 152条, 更新：   0条
保存日线数据，代码： 002871, 插入： 736条, 更新：   0条
保存日线数据，代码： 002871, 插入： 736条, 更新：   0条
保存日线数据，代码： 002049, 插入：1098条, 更新：   0条
保存日线数据，代码： 002049, 插入：1098条, 更新：   0条
保存日线数据，代码： 000788, 插入：1268条, 更新：   0条
保存日线数据，代码： 000788, 插入：1268条, 更新：   0条
保存日线数据，代码： 000403, 插入：   1条, 更新：   0条
保存日线数据，代码： 000403, 插入：   1条, 更新：   0条
保存日线数据，代码： 002409, 插入：1010条, 更新：   0条
保存日线数据，代码： 002409, 插入：1010条, 更新：   0条
保存日线数据，代码： 002729, 插入：1211条, 更新：   0条
保存日线数据，代码： 002729, 插入：1211条, 更新：   0条
保存日线数据，代码： 002978, 插入：  20条, 更新：   0条
保存日线数据，代码： 002978, 插入：  20条, 更新：   0条
保存日线数据，代码： 300576, 插入：   1条, 更新：   0条
保存日线数据，代码： 300576, 插入：   1条, 更新：   0条
保存日线数据，代码： 002853, 插入： 773条, 更新：   0条
保存日线数据，代码： 002853, 插入： 773条, 更新：   0条
保存日线数据，代码： 002725, 插入：1179条, 更新：   0条
保存日线数据，代码： 002725, 插入：1179条, 更新：   0条
保存日线数据，代码： 603348, 插入： 500条, 更新：   0条
保存日线数据，代码： 603348, 插入： 500条, 更新：   0条
保存日线数据，代码： 603900, 插入： 847条, 更新：   0条
保存日线数据，代码： 603900, 插入： 847条, 更新：   0条
保存日线数据，代码： 300398, 插入：1213条, 更新：   0条
保存日线数据，代码： 300398, 插入：1213条, 更新：   0条
保存日线数据，代码： 300260, 插入：   1条, 更新：   0条
保存日线数据，代码： 300260, 插入：   1条, 更新：   0条
保存日线数据，代码： 300002, 插入：1297条, 更新：   0条
保存日线数据，代码： 300002, 插入：1297条, 更新：   0条
保存日线数据，代码： 603042, 插入： 722条, 更新：   0条
保存日线数据，代码： 603042, 插入： 722条, 更新：   0条
保存日线数据，代码： 600329, 插入：1304条, 更新：   0条
保存日线数据，代码： 600329, 插入：1304条, 更新：   0条
保存日线数据，代码： 000716, 插入：1068条, 更新：   0条
保存日线数据，代码： 000716, 插入：1068条, 更新：   0条
保存日线数据，代码： 002612, 插入：1155条, 更新：   0条
保存日线数据，代码： 002612, 插入：1155条, 更新：   0条
保存日线数据，代码： 000557, 插入：   1条, 更新：   0条
保存日线数据，代码： 000557, 插入：   1条, 更新：   0条
保存日线数据，代码： 002449, 插入：1304条, 更新：   0条
保存日线数据，代码： 002449, 插入：1304条, 更新：   0条
保存日线数据，代码： 000151, 插入：1306条, 更新：   0条
保存日线数据，代码： 000151, 插入：1306条, 更新：   0条
保存日线数据，代码： 002397, 插入：   1条, 更新：   0条
保存日线数据，代码： 002397, 插入：   1条, 更新：   0条
保存日线数据，代码： 002713, 插入：1275条, 更新：   0条
保存日线数据，代码： 002713, 插入：1275条, 更新：   0条
保存日线数据，代码： 300716, 插入：   1条, 更新：   0条
保存日线数据，代码： 300716, 插入：   1条, 更新：   0条
保存日线数据，代码： 688023, 插入： 130条, 更新：   0条
保存日线数据，代码： 688023, 插入： 130条, 更新：   0条
保存日线数据，代码： 300351, 插入：1205条, 更新：   0条
保存日线数据，代码： 300351, 插入：1205条, 更新：   0条
保存日线数据，代码： 002297, 插入：   1条, 更新：   0条
保存日线数据，代码： 002297, 插入：   1条, 更新：   0条
保存日线数据，代码： 002662, 插入：1189条, 更新：   0条
保存日线数据，代码： 002662, 插入：1189条, 更新：   0条
保存日线数据，代码： 600834, 插入：   1条, 更新：   0条
保存日线数据，代码： 600834, 插入：   1条, 更新：   0条
保存日线数据，代码： 000616, 插入：1120条, 更新：   0条
保存日线数据，代码： 000616, 插入：1120条, 更新：   0条
保存日线数据，代码： 600662, 插入：   1条, 更新：   0条
保存日线数据，代码： 600662, 插入：   1条, 更新：   0条
